"id_compra","fecha_compra","orden_compra","factura_distribuidor","lote_compra","codigo_distribuidor","codigo_producto","cantidad_cajas","unidades_por_caja","cantidad_unidades","precio_lista_unitario","descuento_distribuidor","valor_descuento","costo_unitario_neto","total_compra_neto","codigo_sucursal_entrega","estado_compra","condicion_pago","observacion"
1,"2025-03-19","OC-2025-0001","F-D006-202503-6848","L202503-477-0001","D005","P005",45,10,450,"1100.00","8.00","88.00","1012.00","455400.00","CENTRO","Recibido","30 días crédito",NULL
2,"2025-04-15","OC-2025-0002","F-D003-202504-4266","L202504-547-0002","D008","P008",30,60,1800,"650.00","14.00","91.00","559.00","1006200.00","NORTE","Recibido","30 días crédito",NULL
3,"2025-10-01","OC-2025-0003","F-D001-202510-4461","L202510-102-0003","D001","P016",57,30,1710,"4000.00","10.00","400.00","3600.00","6156000.00","VALLE","Recibido","30 días crédito","Descuento por volumen"
4,"2025-01-19","OC-2025-0004","F-D004-202501-9865","L202501-230-0004","D005","P020",53,20,1060,"650.00","12.00","78.00","572.00","606320.00","VALLE","Pendiente","30 días crédito",NULL
5,"2025-06-19","OC-2025-0005","F-D008-202506-0567","L202506-484-0005","D008","P016",13,20,260,"4000.00","11.00","440.00","3560.00","925600.00","NORTE","Recibido","30 días crédito",NULL
6,"2025-05-21","OC-2025-0006","F-D003-202505-9593","L202505-379-0006","D007","P015",10,30,300,"1500.00","7.00","105.00","1395.00","418500.00","VALLE","Recibido","15 días crédito",NULL
7,"2025-02-18","OC-2025-0007","F-D004-202502-3467","L202502-139-0007","D002","P007",52,24,1248,"2800.00","7.00","196.00","2604.00","3249792.00","VALLE","Recibido","15 días crédito",NULL
8,"2025-03-22","OC-2025-0008","F-D004-202503-0639","L202503-236-0008","D007","P011",11,20,220,"2100.00","6.00","126.00","1974.00","434280.00","NORTE","Pendiente","15 días crédito",NULL
9,"2025-02-20","OC-2025-0009","F-D007-202502-1067","L202502-411-0009","D001","P013",32,60,1920,"2000.00","8.00","160.00","1840.00","3532800.00","NORTE","Recibido","30 días crédito",NULL
10,"2025-04-09","OC-2025-0010","F-D003-202504-9873","L202504-332-0010","D003","P004",11,50,550,"850.00","5.00","42.50","807.50","444125.00","VALLE","Recibido","Contado contra entrega",NULL
